,dateTime,Performance
0,210106_212617_003431_gmun0106_WHOOP_3A184038,89.1
1,210107_160308_003413_mzav0107_WHOOP_4AA000371,97.9
2,210105_174940_003751_dadl0105_WHOOP_4AA000794,92.6
3,210108_192141_003456_jkan0108_WHOOP_3A153728,88.4
4,210108_211400_003808_cwor0108_WHOOP_3A184004,94.4
5,210106_230641_003803_aerl0106_WHOOP_4AAB00036,87.2
6,210105_181536_003652_cobr0105_WHOOP_4AAB00036,96.4
7,210106_212621_003433_gmun0106_WHOOP_4AA000575,97.7
8,210106_200507_003516_bpee0106_WHOOP_3A184071,98.9
9,210105_220513_003711_ljol0105_WHOOP_3A184151,98.6
10,210105_172038_000108_ggoz0105_WHOOP_3A337990,27.9
11,210105_154336_003546_sdou0105_WHOOP_4AA000401,98.4
12,210106_200538_003445_bpee0106_WHOOP_4AAB00037,99.2
13,210107_151352_003541_mozo0107_WHOOP_3A153728,99.1
14,210105_181540_003648_cobr0105_WHOOP_3A153728,97.6
15,210106_183319_003606_adel0106_WHOOP_3A184038,95.4
16,210107_174051_003641_akec0107_WHOOP_4AAB00037,97.7
17,210106_230641_003803_aerl0106_WHOOP_3A184038,95.3
18,210107_174027_003705_akec0107_WHOOP_3A153728,74.4
19,210106_143944_003415_jmur0106_WHOOP_4AA000423,99.5
20,210108_230908_003534_dgre0108_WHOOP_4AA000384,63.1
21,210107_234619_003616_mgol0107_WHOOP_3A329790,98.8
22,210108_230833_003609_dgre0108_WHOOP_3A184071,82.3
23,210108_193456_003500_nyoo0108_WHOOP_3A329790,77.6
24,210107_174032_003656_akec0107_WHOOP_3A337990,93.9
25,210107_205356_003550_kmcc0107_WHOOP_4AA000519,85.0
26,210108_184415_003547_jgja0108_WHOOP_3A184071,96.0
27,210105_161041_003529_awri01051_WHOOP_3A153728,87.8
28,210106_230644_003810_aerl0106_WHOOP_3A184004,93.7
29,210107_214427_003515_jpet0107_WHOOP_4AA000575,89.5
30,210106_143920_003439_jmur0106_WHOOP_3A184071,94.6
31,210106_160701_003854_ecer0106_WHOOP_4AA000401,82.1
32,210107_220402_003512_csim0107_WHOOP_4AA000388,98.4
33,210108_173847_003646_kroa0108_WHOOP_3A184151,44.3
34,210105_174942_003718_dadl0105_WHOOP_4AA000423,93.2
35,210108_160325_003727_cbag0108_WHOOP_4AA000388,99.2
36,210106_160701_003854_ecer0106_WHOOP_3A184033,97.6
37,210106_153056_002526_jnaw0106_WHOOP_4AAB00036,96.9
38,210107_141655_003706_mrei0107_WHOOP_4AAB00037,98.2
39,210108_230829_003615_dgre0108_WHOOP_4AA000519,74.0
40,210108_233757_003429_rgal0108_WHOOP_3A184104,89.2
41,210108_184448_003352_jgja0108_WHOOP_4AA000384,95.7
42,210108_202000_005941_amae0108_WHOOP_4AA000519,96.8
43,210105_151319_003818_thar0105_WHOOP_3A337990,95.0
44,210107_174058_003630_akec0107_WHOOP_4AA000517,95.3
45,210108_193527_003429_nyoo0108_WHOOP_4AA000524,77.3
46,210106_143920_003437_jmur0106_WHOOP_3A184033,98.2
47,210108_201753_000036_amae0108_WHOOP_4AA000784,3.7
48,210106_200513_003506_bpee0106_WHOOP_3A184033,97.0
49,210105_151313_003820_thar0105_WHOOP_3A153728,96.4
50,210105_203450_003508_asol0105_WHOOP_4AA000423,82.2
51,210107_214410_003532_jpet0107_WHOOP_3A329790,90.1
52,210105_161036_003538_awri01051_WHOOP_4AAB00036,86.6
53,210106_160707_003928_ecer0106_WHOOP_4AA000423,93.6
54,210107_225716_003513_kdic0107_WHOOP_4AA000575,90.7
55,210106_230644_003810_aerl0106_WHOOP_4AA000575,96.4
56,210106_183407_003524_adel0106_WHOOP_4AA000575,95.4
57,210106_193939_003500_mpar0106_WHOOP_3A184004,98.1
58,210105_233133_003703_jyan0105_WHOOP_3A184104,83.6
59,210106_173820_003708_dtru0106_WHOOP_4AA000575,98.8
60,210106_173747_003741_dtru0106_WHOOP_3A184004,96.2
61,210106_183359_003526_adel0106_WHOOP_4AAB00036,95.5
62,210107_160311_003410_mzav0107_WHOOP_3A184071,94.1
63,210108_202000_004044_amae0108_WHOOP_3A153728,90.7
64,210106_212617_003431_gmun0106_WHOOP_4AAB00036,96.6
65,210107_194846_003547_rmcd0107_WHOOP_3A337990,33.3
66,210106_153100_003614_jnaw0106_WHOOP_3A184004,97.5
67,210107_214406_003534_jpet0107_WHOOP_3A184038,90.5
68,210107_220405_003457_csim0107_WHOOP_3A184104,97.7
69,210106_193916_003520_mpar0106_WHOOP_4AAB00036,97.2
70,210105_225550_013142_jwal0105_WHOOP_4AA000517,95.6
71,210105_203453_003446_asol0105_WHOOP_3A184151,92.8
72,210106_193913_003523_mpar0106_WHOOP_3A184038,98.0
73,210107_205401_003544_kmcc0107_WHOOP_4AA000514,86.7
74,210105_172238_003538_ggoz0105_WHOOP_3A153728,98.8
75,210105_233130_003706_jyan0105_WHOOP_4AAB00037,98.0
76,210108_233834_003354_rgal0108_WHOOP_4AA000371,97.8
77,210105_184747_003545_vram0105_WHOOP_3A184151,90.8
78,210106_193942_003457_mpar0106_WHOOP_4AA000575,73.6
79,210108_211404_003804_cwor0108_WHOOP_4AA000384,94.8
80,210105_225537_013157_jwal0105_WHOOP_4AA000545,77.1
81,210107_151352_003541_mozo0107_WHOOP_4AAB00037,99.1
82,210107_234619_003613_mgol0107_WHOOP_4AA000514,90.6
83,210108_193452_003507_nyoo0108_WHOOP_4AA000457,76.7
84,210108_204607_003732_kqui0108_WHOOP_3A184038,98.6
85,210105_184813_003555_vram0105_WHOOP_4AA000794,70.6
86,210107_194847_003541_rmcd0107_WHOOP_3A184104,5.9
87,210108_204624_003620_kqui0108_WHOOP_3A329790,94.1
88,210105_233117_003658_jyan0105_WHOOP_3A184151,96.7
89,210106_160709_003722_ecer0106_WHOOP_3A184071,69.9
90,210107_194848_003540_rmcd0107_WHOOP_4AA000510,6.2
91,210107_160256_003425_mzav0107_WHOOP_3A184104,98.4
92,210107_190004_004223_btom0106_WHOOP_3A184033,83.3
93,210108_160317_003734_cbag0108_WHOOP_4AA000385,99.1
94,210105_225540_013147_jwal0105_WHOOP_3A337990,96.7
95,210107_194846_003547_rmcd0107_WHOOP_4AA000388,11.8
96,210106_173825_003706_dtru0106_WHOOP_3A184038,99.2
97,210105_220452_003735_ljol0105_WHOOP_4AAB00037,98.5
98,210105_172036_000110_ggoz0105_WHOOP_4AA000545,88.9
99,210106_143924_003433_jmur0106_WHOOP_4AA000401,96.6
100,210105_161041_000629_awri01051_WHOOP_4AA000423,39.2
101,210107_225706_003531_kdic0107_WHOOP_4AA000514,98.4
102,210108_201959_004044_amae0108_WHOOP_3A184151,97.3
103,210108_201959_005943_amae0108_WHOOP_4AA000784,97.8
104,210107_225851_003338_kdic0107_WHOOP_3A329790,92.2
105,210107_205404_003541_kmcc0107_WHOOP_3A184038,73.7
106,210105_151321_003816_thar0105_WHOOP_4AAB00036,95.2
107,210105_220511_003713_ljol0105_WHOOP_4AA000423,97.0
108,210108_184438_003522_jgja0108_WHOOP_4AA000441,95.9
109,210108_192132_003503_jkan0108_WHOOP_4AA000784,88.4
110,210108_211429_003739_cwor0108_WHOOP_4AA000441,81.9
111,210105_154337_003548_sdou0105_WHOOP_3A184104,97.2
112,210108_204718_014242_kqui0108_WHOOP_4AA000457,97.6
113,210108_204653_014303_kqui0108_WHOOP_4AA000524,75.8
114,210107_234619_003613_mgol0107_WHOOP_3A184038,98.0
115,210105_154336_003546_sdou0105_WHOOP_3A184151,76.8
116,210106_153056_003615_jnaw0106_WHOOP_3A184038,95.2
117,210107_214405_003535_jpet0107_WHOOP_4AA000514,90.6
118,210108_211409_003759_cwor0108_WHOOP_3A184071,93.9
119,210106_173827_003704_dtru0106_WHOOP_4AAB00036,99.4
120,210105_225547_003954_jwal0105_WHOOP_3A153728,94.5
121,210108_230826_003618_dgre0108_WHOOP_3A184038,83.8
122,210108_233835_003352_rgal0108_WHOOP_4AA000449,97.6
123,210108_174030_003507_kroa0108_WHOOP_3A153728,92.0
124,210108_192129_003506_jkan0108_WHOOP_3A184151,81.5
125,210106_231013_004632_btom0106_WHOOP_4AA000702,80.5
126,210107_141657_003704_mrei0107_WHOOP_3A153728,99.2
127,210108_193442_003517_nyoo0108_WHOOP_3A184038,77.0
128,210105_172241_003518_ggoz0105_WHOOP_4AA000545,69.8
129,210107_225711_003526_kdic0107_WHOOP_3A184038,96.0
130,210105_174943_003748_dadl0105_WHOOP_3A184104,89.3
131,210107_151351_003541_mozo0107_WHOOP_3A337990,99.1
132,210107_141650_003708_mrei0107_WHOOP_4AA000517,96.9
133,210105_163009_005433_ethu0105_WHOOP_4AA000794,80.0
134,210106_212718_003336_gmun0106_WHOOP_3A184004,97.7
135,210105_151346_003747_thar0105_WHOOP_4AA000423,96.0
136,210106_200543_003436_bpee0106_WHOOP_4AA000401,97.0
137,210105_184747_003545_vram0105_WHOOP_4AA000423,73.7
138,210105_161036_003538_awri01051_WHOOP_3A337990,86.9
139,210108_173921_003616_kroa0108_WHOOP_4AA000388,79.4
140,210107_141647_003711_mrei0107_WHOOP_3A337990,98.3
141,210105_203452_003431_asol0105_WHOOP_3A184104,88.3
142,210105_233115_003716_jyan0105_WHOOP_4AA000794,96.5
143,210105_203449_003526_asol0105_WHOOP_4AA000794,92.1
144,210107_234619_003616_mgol0107_WHOOP_4AA000575,98.9
145,210107_220434_003428_csim0107_WHOOP_4AA000874,94.6
146,210105_172238_003538_ggoz0105_WHOOP_4AAB00036,99.8
147,210108_184410_003550_jgja0108_WHOOP_3A184004,94.0
148,210105_172241_003518_ggoz0105_WHOOP_3A337990,97.3
149,210105_220454_003733_ljol0105_WHOOP_3A184104,96.9
150,210106_183329_003602_adel0106_WHOOP_3A184004,96.7
151,210105_154337_003548_sdou0105_WHOOP_4AA000794,96.2
152,210108_160328_003724_cbag0108_WHOOP_3A153728,98.2
153,210105_184813_003555_vram0105_WHOOP_3A184104,75.6
154,210108_233801_003427_rgal0108_WHOOP_3A153728,88.4
155,210106_153100_003614_jnaw0106_WHOOP_4AA000575,96.4
156,210105_174944_003716_dadl0105_WHOOP_3A184151,92.3
157,210105_163003_003632_ethu0105_WHOOP_3A184104,79.6
